Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.767435,3485532891.6845675,1.08566,32.805375,48.995863
0.484207,2376720929.564715,5.03281,30.288909,60.509397
0.537417,6816736521.266803,3.56639,59.958668,60.932246
0.589419,2930786504.70232,7.3477,37.976511,61.648517
0.565291,4966391526.850668,0.991883,47.701214,58.981666
0.804387,1563897410.0315456,1.03582,18.373551,47.059196
0.1256,2173080397.2360077,4.41755,5.581896,49.692192
0.51127,5504686896.0823145,1.58315,50.811588,59.063522
0.538616,2102373424.5932739,1.00891,23.084899,58.801406
0.972512,5648850706.27206,11.6181,35.379901,40.593128
0.488076,1268804074.752811,3.00795,12.777133,59.64392
0.527507,2195891434.4519873,12.3783,32.862099,62.951099
0.897586,2312389253.563253,0.927737,22.674025,43.088276
0.50962,2176412206.860735,3.24182,27.527318,60.344893
0.873075,4259796385.3363624,7.62375,34.843206,45.101231
0.613301,5575262797.073281,5.20083,53.350346,60.323604
0.736726,5227035406.877949,13.8067,45.726572,53.079749
0.700114,1218954857.4167664,2.10894,16.958308,53.735538
0.800671,1755489735.3531163,4.03839,22.312144,48.188936
0.425021,6638343396.190698,1.63052,53.351468,55.335052
0.12245,5817636334.583511,13.4124,47.717366,54.147326
0.387261,6292003150.083234,1.3584,49.455128,53.389015
0.550789,2571108078.696821,3.35911,32.65531,60.908511
0.313318,3553679236.727602,10.0934,36.772193,57.477237
0.189094,5756699203.270987,3.15347,42.49109,49.650915
0.913282,2762251802.8183393,10.5644,26.781793,43.819816
0.236889,4700640067.315786,11.9291,43.131665,55.716196
0.57025,4202480656.228485,6.5012,46.600685,61.838669
0.563702,3795737628.088347,3.38321,42.502085,60.900624
0.879217,3072425646.2292337,13.0859,29.563539,45.132125
0.889654,1318992613.6803195,12.1036,18.850585,44.676488
0.217911,6796835819.284566,4.64956,50.932273,52.199232
0.249955,3785212434.9144745,1.96307,28.820445,50.572531
0.714825,1952583562.3263674,2.49691,24.890488,53.008229
0.647571,1220812682.4482627,4.48388,19.545941,58.080135
0.40876,3873446927.3215933,0.90546,33.110918,53.178675
0.335198,1198912438.1387284,7.80076,9.516912,56.987241
0.727319,1071798805.1404622,0.997927,12.382766,51.378118
0.264855,1672841012.5190406,1.34556,2.468252,50.024548
0.856928,4458304054.452567,12.076,36.585626,46.077267
0.895146,2627807511.9077272,2.21143,25.381119,43.609942
0.146223,5225087335.43977,6.77646,42.027392,52.014914
0.743883,3849016002.7813425,1.7457,36.32185,50.828162
0.183124,1393764295.2737885,3.76447,2.633418,50.269242
0.544774,1174819858.9403176,0.962542,5.650493,58.806849
0.759732,1230173670.3418562,3.09298,17.696756,50.29878
0.710314,4722114241.103985,1.99106,42.678341,53.072301
0.226303,4924330643.155846,9.12754,43.207356,54.545306
0.739112,5457708651.645454,1.38089,44.402352,50.92789
0.177345,2384059222.7361393,3.04607,9.045636,49.697809
0.459204,5767242247.907645,9.93822,54.542939,60.863784
0.40131,5847720546.283098,10.8134,52.979309,58.743716
0.627169,3216176220.5839133,4.27325,38.233643,59.332693
0.92478,2422279817.886116,2.30964,23.460214,42.621134
0.132872,4247824859.2719684,1.90191,25.635732,46.389435
0.530124,2479063120.6555223,5.38325,32.794303,61.558521
0.844644,6645205935.929232,4.20814,44.827641,46.041406
0.683056,5616237769.817513,4.56093,49.45297,55.600854
0.57239,5495211092.609225,0.839168,50.632322,58.707085
0.129729,1982315173.2930212,4.689,4.915478,50.084114
0.491758,3380973009.894859,4.12573,38.54712,60.371615
