#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-19T20:11:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ba2acb523c60	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/211/24&tab:{J/ApJS/211/24/table1}&key:source=J/ApJS/211/24/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/211/24/table1
#-order=I
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Mass
#-out=Prot
#-out=e_Prot
#-out=n_Prot
#
#
#RESOURCE=yCat_22110024
#Name: J/ApJS/211/24
#Title: Rotation periods of Kepler MS stars (McQuillan+, 2014)
#Table	J_ApJS_211_24_table1:
#Name: J/ApJS/211/24/table1
#Title: The rotation period measurements for the 34030 stars presented in this work
#Column	KIC	(I8)	Kepler Input Catalog identifier (Cat. V/133)	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[3197/6499] Star effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	[3.5/5.4] Star surface gravity (log)	[ucd=phot.sb]
#Column	Mass	(F7.4)	[0.2/1.3] Star mass (1)	[ucd=phys.mass]
#Column	Prot	(F6.3)	[0.2/70]? Rotation period	[ucd=time.period]
#Column	e_Prot	(F6.3)	[0/51]? Error in Prot	[ucd=stat.error]
#Column	n_Prot	(A3)	Period flag (4)	[ucd=meta.note]
KIC	Teff	log(g)	Mass	Prot	e_Prot	n_Prot
# 	K	[cm/s2]	Msun	d	d	
#--------	----	-----	-------	------	------	---
  892376	3813	 4.47	 0.4699	 1.532	 0.007	
 1026146	4261	 4.57	 0.6472	14.891	 0.120	
 1026474	4122	 4.56	 0.5914	 1.569	 0.006	
 1162635	3760	 4.77	 0.4497	15.678	 0.019	
 1164102	4045	 4.62	 0.5606	31.496	 0.474	
 1292688	3774	 4.74	 0.4550	42.659	 2.131	
 1297303	4296	 4.61	 0.6613	27.333	 0.193	
 1429921	4217	 4.72	 0.6295	23.131	 0.110	
 1430349	4285	 4.54	 0.6569	34.717	 0.752	
 1430893	3925	 4.72	 0.5133	17.045	 0.026	
 1431060	4195	 4.71	 0.6206	39.682	 0.849	
 1431116	4341	 4.61	 0.6795	38.757	 1.038	
 1432700	4305	 4.60	 0.6650	31.733	 0.263	
 1432745	4354	 4.59	 0.6848	22.189	 0.219	
 1435229	4050	 4.52	 0.5626	23.469	 0.027	
 1569682	3857	 4.74	 0.4869	17.354	 0.222	
 1569863	3589	 4.91	 0.3862	13.321	 0.369	
 1570915	4055	 4.56	 0.5646	12.315	 0.163	
 1571364	4404	 4.60	 0.7050	20.449	 0.132	
 1572802	3878	 4.73	 0.4950	 0.374	 0.004	
 1573478	4233	 4.55	 0.6359	18.018	 0.240	
 1577265	3898	 4.70	 0.5028	15.153	 0.123	
 1718071	3857	 4.77	 0.4869	21.712	 0.202	
 1721911	3705	 4.81	 0.4290	29.620	 0.124	
 1722506	4270	 4.43	 0.6509	10.653	 0.073	
 1849590	4070	 4.40	 0.5706	16.197	 0.121	
 1865663	4230	 4.82	 0.6347	31.319	 0.016	
 1866535	3754	 4.79	 0.4474	24.925	 0.378	
 1866924	4117	 4.58	 0.5894	27.240	 0.277	
 1866986	3832	 4.52	 0.4772	37.348	 0.182	
 1867358	3625	 4.82	 0.3993	32.879	 0.735	
 1868579	4069	 4.67	 0.5702	38.173	 0.377	
 1870952	3888	 4.73	 0.4989	24.278	 0.273	
 1871120	4011	 4.72	 0.5472	37.851	 0.463	
 1872885	3688	 4.32	 0.4226	 1.872	 0.003	
 1873523	3934	 4.72	 0.5169	20.429	 0.441	
 1873543	3702	 4.52	 0.4279	11.548	 0.112	
 1996574	4132	 4.59	 0.5954	20.480	 0.225	
 2010738	4067	 4.55	 0.5694	26.741	 0.105	
 2012731	3471	 4.98	 0.3441	36.258	 0.238	
 2013627	4084	 4.57	 0.5762	13.960	 0.328	
 2013754	4280	 4.57	 0.6549	 4.900	 0.003	
 2014203	4202	 4.57	 0.6235	10.796	 0.237	
 2015703	4313	 4.63	 0.6682	22.448	 0.052	
 2015767	4078	 4.53	 0.5738	18.502	 0.208	
 2016979	4368	 4.69	 0.6904	17.253	 0.236	SM1
 2017692	4250	 4.62	 0.6428	11.431	 0.114	
 2018383	4267	 4.46	 0.6496	30.372	 0.588	
 2020185	4289	 4.65	 0.6585	21.537	 0.100	
 2020638	4337	 4.70	 0.6779	18.350	 0.058	
 2140909	4139	 4.80	 0.5982	38.622	 0.379	
 2142372	3705	 4.81	 0.4290	18.641	 0.020	
 2142451	3482	 4.86	 0.3480	33.671	 0.692	
 2156061	4085	 4.45	 0.5766	30.030	 1.253	
 2156718	4176	 4.51	 0.6130	21.665	 0.349	
 2157356	3650	 4.87	 0.4085	13.607	 0.046	
 2160105	4352	 4.66	 0.6840	17.089	 0.930	
 2161569	4303	 4.48	 0.6642	21.366	 0.083	
 2162907	3830	 4.74	 0.4765	26.500	 0.104	SM1
 2163101	4112	 4.64	 0.5874	25.637	 0.133	
 2163610	3913	 4.71	 0.5086	42.246	 0.189	
 2163634	4371	 4.41	 0.6916	30.462	 0.338	
 2167693	3766	 4.76	 0.4520	17.575	 0.079	
 2282712	3451	 4.92	 0.3372	20.167	 0.350	
 2282944	4312	 4.55	 0.6678	32.307	 0.497	
 2285598	3951	 4.49	 0.5235	37.057	 0.362	
 2300039	3402	 4.91	 0.3203	 1.712	 0.006	
 2300440	4302	 4.60	 0.6638	21.326	 0.081	
 2301872	3968	 4.42	 0.5302	22.888	 0.056	
 2302851	3984	 4.47	 0.5365	12.217	 0.032	
 2302997	3933	 4.73	 0.5165	25.602	 0.140	
 2305760	4248	 4.69	 0.6420	19.570	 1.410	
 2309152	3938	 4.72	 0.5184	31.901	 0.317	
 2311842	4379	 4.56	 0.6949	19.754	 0.161	
 2423549	3730	 4.82	 0.4384	39.804	 0.618	
 2424688	3956	 4.73	 0.5255	11.095	 0.037	
 2435893	3903	 4.70	 0.5047	41.146	 0.424	
 2436635	4398	 4.57	 0.7025	 1.175	 0.004	
 2437270	4242	 4.54	 0.6396	23.778	 0.302	
 2437317	4250	 4.70	 0.6428	36.913	 0.281	
 2438151	4403	 4.58	 0.7046	49.379	 0.405	
 2441409	4312	 4.62	 0.6678	25.364	 0.075	
 2441562	3617	 4.87	 0.3964	10.104	 0.005	
 2441891	3744	 4.79	 0.4437	15.472	 0.018	
 2441989	4223	 4.73	 0.6319	38.393	 0.273	
 2442004	3975	 4.70	 0.5330	 8.865	 0.059	
 2442866	4344	 4.49	 0.6807	 2.934	 0.021	
 2443037	4343	 4.37	 0.6803	11.652	 0.048	
 2443364	4013	 4.23	 0.5480	35.915	 0.628	
 2443935	3862	 4.74	 0.4888	34.068	 0.699	
 2444406	4195	 4.58	 0.6206	16.625	 0.151	
 2445782	4220	 4.71	 0.6307	27.609	 0.139	
 2446934	3774	 4.78	 0.4550	26.101	 0.179	
 2448311	4254	 4.66	 0.6444	24.021	 0.101	
 2448958	4157	 4.58	 0.6054	23.051	 0.162	SM1
 2554730	3389	 4.93	 0.3159	45.962	 0.341	
 2555523	3869	 4.75	 0.4915	26.121	 0.156	
 2557350	3627	 4.86	 0.4001	18.979	 0.072	
 2557669	3672	 4.83	 0.4167	 1.864	 0.003	
 2558314	4052	 4.70	 0.5634	27.590	 0.145	
 2568503	4099	 4.36	 0.5822	34.241	 0.222	
 2570277	3836	 4.65	 0.4788	45.990	 0.937	
 2570846	3781	 4.75	 0.4577	10.913	 0.034	
 2572352	4342	 4.69	 0.6799	39.222	 7.596	
 2574013	4220	 4.60	 0.6307	44.623	 0.334	
 2574427	3897	 4.72	 0.5024	13.635	 0.183	
 2575433	3857	 4.74	 0.4869	15.568	 0.046	
 2576013	4206	 4.58	 0.6251	23.532	 0.154	
 2576328	4311	 4.60	 0.6674	11.569	 0.078	
 2577210	4351	 4.76	 0.6836	31.136	 0.124	
 2577743	3511	 4.06	 0.3582	32.181	 0.114	
 2581298	3764	 4.77	 0.4512	17.539	 0.038	
 2581444	4094	 4.55	 0.5802	11.976	 0.045	
 2583553	4263	 4.63	 0.6480	25.117	 0.098	
 2584692	4108	 4.47	 0.5858	42.211	 0.120	
 2692704	3624	 4.10	 0.3990	14.903	 0.199	
 2692708	3531	 4.05	 0.3653	29.878	 0.115	
 2692772	3790	 4.79	 0.4611	28.030	 0.121	
 2693993	4301	 4.66	 0.6634	23.701	 0.109	
 2694414	4244	 4.46	 0.6404	19.741	 0.200	
 2695622	3743	 4.79	 0.4433	16.171	 0.355	
 2695885	3368	 4.94	 0.3088	56.728	 0.536	
 2708172	4126	 4.58	 0.5930	38.828	 0.323	
 2708787	4084	 4.55	 0.5762	23.830	 0.047	
 2713086	3921	 4.72	 0.5118	 4.140	 0.003	
 2713304	3981	 4.70	 0.5353	29.857	 0.336	
 2714000	3777	 4.77	 0.4562	26.884	 0.189	
 2714077	4327	 4.73	 0.6739	13.802	 0.012	
 2716857	4248	 4.37	 0.6420	 8.698	 0.058	
 2718397	4004	 4.47	 0.5444	22.446	 0.203	
 2718781	4113	 4.57	 0.5878	23.378	 0.078	
 2718935	3761	 4.80	 0.4501	33.050	 0.431	
 2831983	4248	 4.50	 0.6420	10.039	 0.072	
 2832175	4199	 4.49	 0.6223	18.987	 0.359	
 2832398	3800	 4.79	 0.4650	14.707	 0.033	
 2832720	3204	 5.13	 0.2556	24.142	 5.682	
 2832741	4380	 4.55	 0.6953	19.892	 3.939	
 2834075	3914	 4.73	 0.5090	37.550	 2.993	
 2834564	3524	 4.88	 0.3628	21.875	 0.599	
 2834612	3716	 4.81	 0.4331	13.436	 0.083	
 2834637	3233	 5.08	 0.2647	23.227	 0.079	
 2834754	4211	 4.41	 0.6271	27.236	 0.090	
 2834778	3624	 4.82	 0.3990	41.079	 0.209	
 2835051	4061	 4.33	 0.5670	39.835	11.617	
 2835274	4078	 4.54	 0.5738	13.360	 0.049	
 2835393	3735	 4.84	 0.4403	14.995	 0.059	
 2836098	3971	 4.70	 0.5314	29.358	 0.070	
 2837126	4043	 4.36	 0.5599	34.624	 0.107	
 2845689	4106	 4.58	 0.5850	13.555	 0.019	
 2847357	3666	 4.83	 0.4145	32.441	 0.088	
