# BHAC15 tracks for low mass stars (0.07 Msun to 1.4 Msun)
#
# L/Ls: log L/Lsun
# g: log g
# R/Rs : R/Rsun
# Li/Li0: ratio of surface lithium abundance to initial abundance
#
#------------------------------------------------------------
# M/Ms    log t(yr)  Teff      L/Ls    g    R/Rs   Li/Li0
#------------------------------------------------------------
 0.070     5.693     2834.   -1.324  3.369  0.905  1.000  
 0.070     5.702     2835.   -1.327  3.374  0.900  1.000  
 0.070     5.711     2837.   -1.331  3.379  0.895  1.000  
 0.070     5.720     2839.   -1.335  3.384  0.890  1.000  
 0.070     5.730     2841.   -1.338  3.388  0.885  1.000  
 0.070     5.748     2844.   -1.346  3.398  0.876  1.000  
 0.070     5.757     2846.   -1.349  3.403  0.871  1.000  
 0.070     5.767     2848.   -1.353  3.407  0.866  1.000  
 0.070     5.776     2850.   -1.356  3.412  0.862  1.000  
 0.070     5.785     2852.   -1.360  3.417  0.857  1.000  
 0.070     5.795     2854.   -1.363  3.421  0.853  1.000  
 0.070     5.805     2856.   -1.366  3.426  0.848  1.000  
 0.070     5.815     2858.   -1.370  3.430  0.843  1.000  
 0.070     5.824     2861.   -1.373  3.435  0.839  1.000  
 0.070     5.835     2863.   -1.376  3.440  0.835  1.000  
 0.070     5.845     2865.   -1.379  3.444  0.830  1.000  
 0.070     5.856     2868.   -1.382  3.449  0.826  1.000  
 0.070     5.866     2870.   -1.385  3.453  0.822  1.000  
 0.070     5.878     2872.   -1.388  3.458  0.817  1.000  
 0.070     5.889     2875.   -1.391  3.462  0.813  1.000  
 0.070     5.901     2878.   -1.394  3.467  0.809  1.000  
 0.070     5.914     2880.   -1.397  3.471  0.805  1.000  
 0.070     5.926     2883.   -1.400  3.475  0.801  1.000  
 0.070     5.938     2885.   -1.402  3.479  0.797  1.000  
 0.070     5.950     2887.   -1.404  3.483  0.794  1.000  
 0.070     5.961     2890.   -1.406  3.486  0.791  1.000  
 0.070     5.973     2892.   -1.408  3.489  0.788  1.000  
 0.070     5.984     2893.   -1.410  3.492  0.786  1.000  
 0.070     5.995     2895.   -1.411  3.494  0.784  1.000  
 0.070     6.006     2897.   -1.413  3.497  0.781  1.000  
 0.070     6.016     2899.   -1.414  3.499  0.779  1.000  
 0.070     6.027     2899.   -1.415  3.501  0.778  1.000  
 0.070     6.037     2899.   -1.417  3.503  0.776  1.000  
 0.070     6.049     2900.   -1.419  3.505  0.774  1.000  
 0.070     6.063     2900.   -1.421  3.507  0.772  1.000  
